Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3
73763,1623,Blaine,Oklahoma,1,4,9,1,0,4,1,100,19.42,40.35,85%,55,1,1,3,1,0,1,0
73772,6119,Blaine,Oklahoma,2,4,12,2,1,5,2,2372,96.43,253.91,71%,55,2,2,5,2,1,2,1
16601,33870,Blair,Pennsylvania,5,2,12,3,3,6,3,34332,43.88,106.15,88%,39.99,6,2,9,3,2,3,2
16602,29554,Blair,Pennsylvania,5,2,12,2,2,5,2,32954,67.24,169.98,97%,39.99,4,1,6,1,0,1,0
16617,2806,Blair,Pennsylvania,3,1,9,1,1,3,1,556,15.21,43.55,74%,39.99,2,1,4,1,0,1,0
16625,3868,Blair,Pennsylvania,3,1,9,2,1,5,1,358,61.6,182.25,76%,39.99,3,1,5,1,0,1,0
16635,11321,Blair,Pennsylvania,4,1,10,2,2,4,2,2406,68.32,151.27,78%,39.99,2,1,4,1,0,1,0
16637,2873,Blair,Pennsylvania,4,0,9,1,1,3,1,0,0,0,36%,39.99,4,0,5,1,0,1,0
16648,15538,Blair,Pennsylvania,5,2,12,3,3,6,3,10490,50.26,120.86,89%,39.99,3,1,5,2,1,2,1
16662,6040,Blair,Pennsylvania,2,1,8,2,1,4,1,158,15.93,39.37,63%,39.99,2,2,5,2,0,2,0
16673,5519,Blair,Pennsylvania,4,1,10,3,2,5,2,164,26.43,64.24,92%,39.99,4,2,7,3,1,3,1
16682,117,Blair,Pennsylvania,2,0,7,2,1,4,1,0,0,0,62%,39.99,2,0,3,1,0,1,0
16686,13488,Blair,Pennsylvania,5,2,12,3,3,6,3,5812,39.4,116.57,92%,39.99,4,1,6,2,1,2,1
16693,4185,Blair,Pennsylvania,4,1,10,3,3,5,3,0,0,0,85%,39.99,4,1,6,3,1,3,1
78635,149,Blanco,Texas,0,3,8,0,0,3,1,,,,67%,,2,0,3,0,0,0,0
78606,5205,Blanco,Texas,7,9,21,3,3,7,4,2462,11.7,25.19,50%,59.95,5,1,7,1,1,1,1
78636,3749,Blanco,Texas,3,12,20,1,1,5,3,2228,11.52,22.54,7%,69.99,2,4,7,0,0,0,0
78663,746,Blanco,Texas,0,7,12,0,0,2,1,117,3.76,7.07,0%,NULL,1,2,4,0,0,0,0
24314,1560,Bland,Virginia,5,2,13,3,2,6,3,18,10.67,32.51,99%,45.95,4,2,8,2,2,3,2
24315,3774,Bland,Virginia,3,2,11,2,1,5,2,498,9.54,26.93,100%,45.95,3,1,6,1,1,2,1
24318,639,Bland,Virginia,2,1,9,2,1,5,2,0,0,0,100%,45.95,2,0,4,1,1,1,1
24366,781,Bland,Virginia,5,2,13,3,3,6,4,754,7.81,17.87,100%,40,3,2,7,2,2,3,2
31014,13756,Bleckley,Georgia,11,1,17,5,5,7,5,983,27.6,69.42,56%,69.99,6,0,8,1,0,1,0
37367,10247,Bledsoe,Tennessee,4,1,11,2,2,4,3,10814,90.71,227.35,44%,57.99,4,0,6,1,1,1,1
35031,7933,Blount,Alabama,4,4,13,4,2,7,3,3113,20.04,62.56,41%,67.95,3,3,8,3,1,3,1
35049,3996,Blount,Alabama,5,3,13,5,2,8,3,76,28.01,64.2,87%,55,4,1,7,4,1,4,1
35079,8810,Blount,Alabama,7,4,16,7,6,11,7,310,10.18,26,74%,35,3,2,7,2,1,3,1
35097,1748,Blount,Alabama,3,2,10,2,2,4,3,50,35.29,114.19,99%,55,2,1,5,1,0,1,0
35121,15570,Blount,Alabama,5,3,13,5,3,8,4,5749,12.33,28.29,92%,67.95,4,1,7,2,0,2,0
35133,3907,Blount,Alabama,4,2,11,3,3,5,4,70,27.48,44.45,92%,55,4,1,7,2,1,2,1
35172,2986,Blount,Alabama,4,3,12,4,4,6,5,10,70.69,194.46,98%,35,1,1,4,1,0,1,0
37701,6817,Blount,Tennessee,5,1,13,5,5,8,7,592,56.85,168.84,100%,35,2,1,5,2,1,2,1
37737,5785,Blount,Tennessee,6,2,15,6,6,9,7,2966,102.65,161.3,99%,35,3,1,6,3,2,3,2
37777,11274,Blount,Tennessee,6,1,14,6,6,9,7,1945,63.77,192.44,100%,35,3,0,5,3,2,3,2
37801,25124,Blount,Tennessee,7,2,16,6,6,9,8,7167,83.85,218.13,99%,35,4,1,7,3,2,3,2
37803,31668,Blount,Tennessee,6,2,15,6,6,9,8,20601,87.98,204.76,99%,35,4,1,7,3,2,3,2
37804,24682,Blount,Tennessee,6,4,17,6,6,10,8,10142,65.77,173.43,100%,35,5,1,8,4,2,4,2
37853,3815,Blount,Tennessee,5,2,14,5,5,8,6,43,47.06,90.61,100%,35,3,0,5,3,2,3,2
37878,514,Blount,Tennessee,2,1,9,2,2,5,3,0,0,0,100%,55,1,1,4,1,0,1,0
37882,2724,Blount,Tennessee,3,1,10,3,1,6,2,171,28.83,75.74,95%,55,2,0,4,1,1,1,1
37886,4418,Blount,Tennessee,6,4,17,6,6,10,7,2369,19.87,47.37,99%,35,3,0,5,3,2,3,2
56010,1129,Blue Earth,Minnesota,2,4,11,0,0,5,2,,,,80%,85,4,5,10,0,0,1,0
56034,496,Blue Earth,Minnesota,2,2,9,0,0,4,1,,,,72%,90,4,3,8,0,0,0,0
56037,1635,Blue Earth,Minnesota,1,3,9,0,0,5,2,,,,100%,85,3,3,7,0,0,1,0
56078,476,Blue Earth,Minnesota,4,2,11,1,1,5,3,,,,100%,29.99,2,2,5,1,1,2,1
56090,694,Blue Earth,Minnesota,2,2,9,0,0,4,1,,,,100%,90,5,3,9,0,0,0,0
56001,46327,Blue Earth,Minnesota,4,3,12,3,3,8,5,42664,48.04,112.54,100%,69.95,4,3,8,3,3,4,3
56024,2759,Blue Earth,Minnesota,2,2,9,1,1,5,3,280,77.65,112.01,100%,69.99,3,2,6,1,1,2,1
56055,3902,Blue Earth,Minnesota,5,2,12,3,2,7,3,80,9.46,29.11,100%,69.99,4,2,7,2,1,2,1
56063,2724,Blue Earth,Minnesota,4,2,11,2,2,6,4,511,7.9,15.13,100%,69.95,5,2,8,2,2,3,2
56065,2844,Blue Earth,Minnesota,2,2,9,1,0,5,2,121,10.43,30.88,100%,79.95,2,2,5,1,0,2,0
83602,24,Boise,Idaho,0,0,4,0,0,2,0,,,,0%,,1,0,3,0,0,0,0
83637,206,Boise,Idaho,1,1,6,0,0,3,0,,,,6%,NULL,7,0,9,0,0,0,0
83666,52,Boise,Idaho,0,1,4,0,0,2,0,,,,0%,,0,2,4,0,0,0,0
83622,1737,Boise,Idaho,1,2,7,0,0,3,0,219,8.11,15.95,1%,NULL,1,1,4,0,0,0,0
83629,1721,Boise,Idaho,2,4,11,1,1,5,1,386,4.18,11.59,82%,55,2,0,4,1,1,1,1
83631,1333,Boise,Idaho,1,1,6,1,1,3,1,49,6.33,9.44,10%,NULL,1,1,4,0,0,0,0
38726,532,Bolivar,Mississippi,4,2,12,2,2,4,2,,,,64%,80,4,0,6,0,0,0,0
38733,NULL,Bolivar,Mississippi,,,,,,,,,,,,,,,,,,,
38746,616,Bolivar,Mississippi,2,1,8,0,0,2,0,,,,0%,NULL,8,0,10,1,1,1,1
38725,998,Bolivar,Mississippi,7,3,16,4,4,7,4,60,5.74,9.76,47%,39.99,1,0,3,0,0,0,0
38730,1718,Bolivar,Mississippi,3,1,9,1,1,3,1,48,6.52,11.75,89%,55,2,0,4,1,1,1,1
38732,17981,Bolivar,Mississippi,6,2,13,5,3,7,3,13418,68.45,193.21,97%,55,3,0,5,1,1,1,1
38740,466,Bolivar,Mississippi,4,2,11,4,2,6,2,2,4.05,4.05,80%,55,2,0,4,1,1,1,1
38759,1194,Bolivar,Mississippi,5,2,12,2,2,4,2,65,16.73,49.69,59%,55,3,0,5,1,1,1,1
38762,2294,Bolivar,Mississippi,5,2,12,3,2,5,2,204,70.88,189.35,94%,55,3,0,5,1,1,1,1
38769,2216,Bolivar,Mississippi,5,2,12,2,2,4,2,3,9.65,10.67,1%,55,2,0,4,1,1,1,1
38773,3375,Bolivar,Mississippi,6,2,14,4,3,6,3,4,102.7,110.56,76%,40,3,0,5,2,2,2,2
38774,2522,Bolivar,Mississippi,5,2,12,3,2,5,2,786,47.06,161.19,88%,55,3,0,5,1,1,1,1
63662,1185,Bollinger,Missouri,1,2,8,0,0,2,1,,,,0%,,1,2,4,0,0,0,0
63750,43,Bollinger,Missouri,0,0,4,0,0,2,1,,,,0%,,0,1,2,0,0,0,0
63751,1249,Bollinger,Missouri,0,2,7,0,0,2,1,22,7.75,12.17,0%,NULL,0,2,3,0,0,0,0
63760,614,Bollinger,Missouri,0,3,8,0,0,2,1,25,19.81,42.33,0%,NULL,0,3,4,0,0,0,0
63764,5984,Bollinger,Missouri,4,4,13,1,1,3,2,352,11.09,29.21,2%,69.99,3,4,8,1,1,1,1
63781,1272,Bollinger,Missouri,0,2,7,0,0,2,1,18,25.03,67.71,0%,NULL,0,2,3,0,0,0,0
63782,274,Bollinger,Missouri,1,3,9,1,1,3,2,11,12.22,34.58,23%,50,0,2,3,0,0,0,0
63787,719,Bollinger,Missouri,0,2,7,0,0,2,1,2,13.08,13.08,0%,NULL,0,2,3,0,0,0,0
57059,1522,Bon Homme,South Dakota,5,1,10,4,1,6,1,198,18.16,48.12,98%,NULL,5,1,7,4,0,4,0
57062,2410,Bon Homme,South Dakota,4,1,9,3,2,5,2,164,14.79,27.63,98%,NULL,3,0,4,2,0,2,0
57063,1006,Bon Homme,South Dakota,4,1,9,3,3,5,3,0,0,0,32%,39.99,3,1,5,2,0,2,0
57066,1508,Bon Homme,South Dakota,3,0,7,3,2,5,2,653,6.12,14,37%,NULL,3,0,4,2,0,2,0
57315,987,Bon Homme,South Dakota,4,0,8,2,1,4,1,218,18.87,41.8,100%,NULL,5,0,6,4,0,4,0
62086,1437,Bond,Illinois,3,5,14,1,1,4,2,39,10.29,16.93,95%,69.95,3,2,7,0,0,0,0
62246,10355,Bond,Illinois,4,7,16,3,1,6,2,4499,13.52,25.57,100%,55,4,4,10,2,0,2,0
62253,696,Bond,Illinois,2,5,12,1,1,4,2,114,12.24,35.94,100%,55,1,3,6,0,0,0,0
62262,1810,Bond,Illinois,2,6,13,0,0,3,0,5,21.68,62.78,100%,NULL,1,4,7,0,0,0,0
62275,3621,Bond,Illinois,9,5,20,5,5,8,6,644,8.48,20.03,100%,55,5,3,10,1,1,1,1
62284,636,Bond,Illinois,4,4,13,3,1,6,1,8,24.9,79.93,100%,55,3,3,8,0,0,0,0
83848,137,Bonner,Idaho,1,2,7,1,1,5,1,,,,100%,,0,2,4,0,0,1,0
83852,884,Bonner,Idaho,2,4,11,1,1,6,2,,,,100%,129.95,6,3,11,0,0,1,0
83804,1254,Bonner,Idaho,0,4,10,0,0,5,2,89,9.2,23.28,100%,129.95,1,1,4,0,0,1,0
83809,401,Bonner,Idaho,0,3,9,0,0,4,1,1,0.85,0.85,100%,129.95,0,2,4,0,0,1,0
83811,1411,Bonner,Idaho,5,2,11,1,1,5,2,8,3.83,13.21,100%,129.95,3,1,6,1,0,2,0
83813,1158,Bonner,Idaho,1,3,10,0,0,4,1,36,1.74,4.21,100%,129.95,1,2,5,0,0,1,0
83821,210,Bonner,Idaho,1,2,7,1,1,5,1,29,7.42,23.78,100%,NULL,0,1,3,0,0,1,0
83822,2006,Bonner,Idaho,4,4,13,2,2,8,4,4,26.27,30.93,100%,129.95,3,1,6,0,0,1,0
83836,1033,Bonner,Idaho,3,4,12,1,1,6,2,14,2.26,6.24,100%,129.95,3,2,7,1,1,2,1
83856,6340,Bonner,Idaho,6,5,17,4,4,10,6,1913,14.99,41.71,100%,69.95,4,2,8,1,1,3,1
83860,6119,Bonner,Idaho,2,5,12,1,1,7,2,903,5.99,13.28,100%,129.95,2,2,6,1,0,2,0
83864,17076,Bonner,Idaho,2,6,13,1,1,9,2,20834,33.81,94.95,100%,129.95,6,2,10,2,2,3,2
83415,NULL,Bonneville,Idaho,,,,,,,,,,,,,,,,,,,
83427,1372,Bonneville,Idaho,4,4,13,3,2,7,2,,,,100%,49,10,2,14,7,3,7,3
83285,131,Bonneville,Idaho,2,2,9,2,1,4,1,63,15.66,33.5,56%,NULL,1,1,4,1,0,1,0
83401,37966,Bonneville,Idaho,6,4,15,4,4,8,5,18912,72.71,208.26,100%,55,6,2,10,4,4,4,4
83402,26069,Bonneville,Idaho,5,4,14,3,3,7,4,3994,30.96,83.05,100%,55,6,2,10,3,3,3,3
83404,21606,Bonneville,Idaho,6,4,15,4,4,8,5,12828,76.34,186.12,100%,55,7,2,11,4,4,4,4
83406,15902,Bonneville,Idaho,5,4,14,4,4,8,5,7564,38.5,88.2,100%,55,6,2,10,4,4,4,4
83428,416,Bonneville,Idaho,4,2,11,3,2,5,2,34,16.55,29.1,59%,55,5,1,8,3,2,3,2
83449,249,Bonneville,Idaho,3,2,9,2,1,4,1,255,14.26,30.15,82%,NULL,4,1,7,2,1,2,1
72601,30163,Boone,Arkansas,9,3,17,8,6,11,6,38444,23.69,52.24,88%,59.95,5,0,7,1,1,1,1
72644,2268,Boone,Arkansas,3,1,10,1,1,4,1,1228,24.89,79.11,38%,59.95,3,0,5,0,0,0,0
72662,2986,Boone,Arkansas,5,2,12,2,2,5,2,244,14.59,54.51,100%,40,3,1,6,0,0,1,1
61008,34311,Boone,Illinois,4,3,14,2,2,6,3,10613,35.78,62.14,99%,69.99,4,3,9,2,2,3,2
61011,2945,Boone,Illinois,7,2,16,3,3,6,4,483,10.35,24.91,86%,69.99,6,2,10,3,3,4,3
61012,2175,Boone,Illinois,3,4,14,1,1,4,2,5508,14.77,40.27,88%,69.99,3,4,9,2,1,3,1
61038,1354,Boone,Illinois,3,3,13,2,2,6,3,440,5.2,14.3,83%,69.99,3,3,8,2,2,3,2
61065,11156,Boone,Illinois,5,3,15,3,2,6,3,9844,55.59,106.23,98%,69.99,6,3,11,3,3,4,3
46052,22060,Boone,Indiana,9,6,20,7,7,10,8,4667,113.46,431.83,98%,49.95,8,4,14,6,4,6,4
46071,3417,Boone,Indiana,6,6,17,3,2,7,3,794,16.04,29.74,99%,49.95,4,5,11,0,0,0,0
46075,2913,Boone,Indiana,4,5,14,4,4,7,5,8101,29.38,76.94,97%,66.95,4,2,8,4,3,4,3
46077,24512,Boone,Indiana,9,6,20,9,9,12,10,13921,57.42,179.52,99%,35,6,2,10,5,3,5,3
46147,3264,Boone,Indiana,6,3,14,3,2,5,3,775,4.34,5.76,39%,67,5,1,8,2,1,2,1
50099,NULL,Boone,Iowa,,,,,,,,,,,,,,,,,,,
50036,16287,Boone,Iowa,12,3,21,11,7,14,8,3422,36.43,95.22,91%,45,15,2,18,6,3,6,3
50212,3131,Boone,Iowa,7,3,16,6,4,8,5,766,40.98,91.62,93%,54.95,6,2,9,2,0,2,0
50223,480,Boone,Iowa,1,1,8,1,1,3,2,134,40.67,98.78,100%,59.95,4,1,6,2,0,2,0
41005,22569,Boone,Kentucky,3,0,9,3,2,5,2,7132,109.49,287.17,100%,39.99,3,1,6,3,1,3,1
41042,49968,Boone,Kentucky,3,0,9,3,2,5,2,55993,108.64,282.86,99%,39.99,3,0,5,3,1,3,1
41048,13959,Boone,Kentucky,3,0,9,3,2,5,2,3369,84.33,220.22,100%,39.99,3,1,6,3,1,3,1
41080,1849,Boone,Kentucky,3,0,9,3,2,5,2,61,257.24,687.07,95%,39.99,2,0,4,2,0,2,0
41091,16873,Boone,Kentucky,3,1,10,3,2,5,2,6400,77.38,213.84,100%,39.99,3,1,6,3,1,3,1
41092,3514,Boone,Kentucky,3,1,10,3,2,5,2,76,44.8,211.07,93%,39.99,2,1,5,2,0,2,0
41094,13631,Boone,Kentucky,3,0,9,3,2,5,2,1817,47.96,149.51,98%,39.99,3,1,6,3,1,3,1
65211,NULL,Boone,Missouri,,,,,,,,,,,,,,,,,,,
65212,NULL,Boone,Missouri,,,,,,,,,,,,,,,,,,,
65215,203,Boone,Missouri,2,1,9,1,1,3,2,,,,100%,49,3,0,4,1,1,1,1
65216,NULL,Boone,Missouri,,,,,,,,,,,,,,,,,,,
65217,NULL,Boone,Missouri,,,,,,,,,,,,,,,,,,,
65218,NULL,Boone,Missouri,,,,,,,,,,,,,,,,,,,
65299,NULL,Boone,Missouri,,,,,,,,,,,,,,,,,,,
65010,5704,Boone,Missouri,6,2,14,5,5,7,6,1150,88.86,225.18,91%,65,3,1,5,1,1,1,1
65039,2328,Boone,Missouri,4,2,12,4,3,6,4,40,13.1,29.94,37%,65,2,0,3,1,1,1,1
65201,39417,Boone,Missouri,7,3,16,6,5,8,6,11474,60.43,174.02,93%,65,7,1,9,6,5,6,5
65202,46547,Boone,Missouri,9,2,17,7,7,9,8,13493,60.87,183.35,95%,65,7,2,10,5,4,5,4
65203,53307,Boone,Missouri,7,4,17,6,6,8,7,41816,63.37,217.5,98%,55,7,1,9,6,5,6,5
65240,7590,Boone,Missouri,5,5,16,5,4,8,5,1183,96.81,209.17,67%,65,3,1,5,1,1,1,1
65255,3731,Boone,Missouri,3,3,12,3,3,5,4,559,79.07,282.92,56%,69.99,1,1,3,0,0,0,0
65256,1787,Boone,Missouri,4,2,12,2,2,4,3,31,16.01,34.67,3%,69.99,1,1,3,1,0,1,0
65279,1766,Boone,Missouri,4,1,11,3,3,5,4,831,5.27,11.69,24%,69.99,2,1,4,1,1,1,1
65284,2361,Boone,Missouri,3,4,13,2,1,4,2,59,56.1,117.02,45%,65,1,2,4,0,0,0,0
68655,159,Boone,Nebraska,1,1,7,1,0,3,0,,,,39%,,1,0,2,0,0,0,0
68620,2967,Boone,Nebraska,3,3,12,1,0,4,1,743,18.86,49.5,88%,119.95,6,2,9,2,1,2,1
68627,622,Boone,Nebraska,2,3,10,2,0,5,0,1219,18.31,40.95,66%,119.95,2,1,4,1,0,1,0
68652,715,Boone,Nebraska,2,2,9,2,1,5,2,252,23.13,43.24,100%,119.95,2,1,4,0,0,0,0
68660,1137,Boone,Nebraska,4,5,15,2,0,6,2,273,33.64,86.32,100%,90,2,4,7,1,0,1,0
25009,1153,Boone,West Virginia,2,1,7,1,1,3,1,,,,98%,40,7,1,10,2,2,2,2
25021,305,Boone,West Virginia,2,1,7,1,1,3,2,,,,100%,65,1,1,4,0,0,0,0
25028,381,Boone,West Virginia,2,1,7,1,1,3,2,,,,100%,65,2,1,5,0,0,0,0
25051,164,Boone,West Virginia,2,1,7,1,1,3,1,,,,100%,40,2,1,5,1,1,1,1
25093,207,Boone,West Virginia,2,1,7,1,1,3,2,,,,98%,65,2,1,5,0,0,0,0
25108,692,Boone,West Virginia,2,1,7,1,1,3,1,,,,100%,65,2,1,5,0,0,0,0
25114,557,Boone,West Virginia,3,1,8,2,2,4,2,,,,99%,40,3,1,6,1,1,1,1
25142,416,Boone,West Virginia,2,1,7,1,1,3,1,,,,100%,40,4,1,7,2,2,2,2
25148,332,Boone,West Virginia,2,1,7,1,1,3,2,,,,100%,40,5,1,8,2,2,2,2
25165,612,Boone,West Virginia,2,1,7,1,1,3,1,,,,100%,40,3,1,6,1,1,1,1
25169,516,Boone,West Virginia,2,1,7,1,1,3,1,,,,100%,40,2,1,5,1,1,1,1
25181,1853,Boone,West Virginia,3,1,8,2,2,4,3,,,,100%,40,3,1,6,2,2,2,2
25193,477,Boone,West Virginia,3,1,8,2,2,4,3,,,,99%,40,3,1,6,2,2,2,2
25203,89,Boone,West Virginia,2,1,7,1,1,3,1,,,,85%,65,1,1,4,0,0,0,0
25209,1227,Boone,West Virginia,2,0,6,1,1,3,2,,,,100%,40,1,1,4,0,0,0,0
25529,1013,Boone,West Virginia,3,1,8,2,2,4,2,,,,94%,40,4,1,7,2,2,2,2
25024,586,Boone,West Virginia,2,1,7,1,1,3,1,780,30.64,107.1,100%,40,2,1,5,1,1,1,1
25049,630,Boone,West Virginia,2,1,7,1,1,3,2,8,8.72,31.17,100%,40,2,1,5,1,1,1,1
25053,4296,Boone,West Virginia,4,1,9,3,3,5,3,702,9.35,18.42,97%,40,4,1,7,1,1,1,1
25081,1251,Boone,West Virginia,2,1,7,1,1,3,1,1006,4.91,12.14,97%,40,2,1,5,1,1,1,1
25130,3846,Boone,West Virginia,4,1,9,2,2,4,3,3112,6.72,15.53,100%,40,4,1,7,2,1,2,1
25154,868,Boone,West Virginia,2,1,7,1,1,3,1,498,7.72,16.43,94%,40,2,1,5,1,1,1,1
25204,211,Boone,West Virginia,2,1,8,1,1,3,2,36,8.86,34.91,99%,65,1,1,4,0,0,0,0
25206,601,Boone,West Virginia,3,1,8,2,2,4,3,1,25.15,25.15,99%,40,2,1,5,0,0,0,0
25208,992,Boone,West Virginia,3,1,9,2,2,4,3,170,6.37,18.03,99%,65,2,1,5,1,1,1,1
79351,1326,Borden,Texas,2,6,13,1,1,4,2,550,55.96,157.14,99%,64.95,2,3,6,1,0,1,0
79738,275,Borden,Texas,4,4,13,1,1,3,2,0,0,0,23%,64.95,3,2,6,1,0,1,0
76634,7093,Bosque,Texas,3,5,14,1,0,5,1,1899,22.79,40.28,100%,119.95,2,4,7,1,0,2,0
76637,536,Bosque,Texas,2,3,10,1,0,5,1,142,10.36,25.4,100%,119.95,1,3,5,1,0,2,0
76649,790,Bosque,Texas,4,5,14,3,2,8,2,33,14.4,32.21,100%,99.95,3,3,7,1,0,2,0
76652,1087,Bosque,Texas,2,3,11,2,2,5,2,214,21.57,31.95,100%,119.95,1,2,4,0,0,1,0
76665,2526,Bosque,Texas,4,5,14,2,1,6,2,119,23.99,80.64,100%,119.95,3,4,8,0,0,1,0
76671,1777,Bosque,Texas,3,2,11,2,2,5,2,215,12.98,26.99,100%,119.95,2,2,5,0,0,1,0
76689,3996,Bosque,Texas,3,6,15,2,2,6,4,1236,15.84,32.04,100%,119.95,3,4,8,0,0,1,0
76690,1197,Bosque,Texas,2,4,11,2,2,6,2,184,37.96,40.05,100%,119.95,2,2,5,0,0,1,0
71110,2793,Bossier,Louisiana,6,1,12,6,4,8,5,,,,94%,35,7,0,9,3,3,3,3
71006,12158,Bossier,Louisiana,6,2,13,6,5,8,6,3935,26.19,53.64,85%,35,4,1,7,2,1,2,1
71037,19325,Bossier,Louisiana,5,2,12,5,5,7,6,1121,77.54,248.07,92%,35,2,1,5,2,1,2,1
71051,2409,Bossier,Louisiana,5,1,11,3,3,5,4,36,6.5,18.43,48%,35,2,0,4,0,0,0,0
71064,4096,Bossier,Louisiana,3,0,8,3,2,5,3,37,5.68,19.34,40%,40,2,1,5,1,1,1,1
71067,3297,Bossier,Louisiana,5,2,12,5,5,7,6,1,56.22,56.22,99%,35,2,0,4,1,1,1,1
71111,38456,Bossier,Louisiana,6,2,13,6,6,8,7,31198,118.19,321.6,100%,35,3,1,6,3,1,3,1
71112,31358,Bossier,Louisiana,5,1,11,5,5,7,6,3519,100.14,271.1,100%,35,2,1,5,2,1,2,1
24064,4963,Botetourt,Virginia,3,2,11,1,1,4,1,486,32.6,93.61,97%,79.99,2,1,5,1,1,1,1
24066,4883,Botetourt,Virginia,7,1,14,4,2,6,2,1730,31.47,94.48,40%,44.95,4,1,7,1,0,1,0
24077,932,Botetourt,Virginia,3,1,10,2,2,4,2,1958,39.43,128.29,99%,59.95,3,0,5,2,1,2,1
24083,2587,Botetourt,Virginia,3,1,10,3,2,5,3,5068,61.13,181.68,94%,44.95,3,0,5,2,2,2,2
24085,2182,Botetourt,Virginia,4,0,9,3,3,5,4,646,17,42.11,55%,44.95,4,1,7,3,1,3,1
24090,4781,Botetourt,Virginia,4,1,11,3,3,5,4,5458,37.49,107.82,57%,44.95,4,1,7,2,2,2,2
24130,8,Botetourt,Virginia,1,0,4,0,0,2,1,360,24.58,77.53,0%,NULL,1,0,3,0,0,0,0
24175,8818,Botetourt,Virginia,4,1,11,3,3,5,4,20478,82.39,222.48,94%,44.95,4,0,6,2,2,2,2
58748,148,Bottineau,North Dakota,3,0,7,2,2,4,2,,,,100%,45.95,2,0,4,0,0,0,0
58750,528,Bottineau,North Dakota,3,0,7,3,3,5,3,,,,100%,45.95,5,0,7,3,2,3,2
58760,254,Bottineau,North Dakota,2,0,6,2,2,4,2,,,,98%,45.95,7,0,9,2,1,2,1
58783,346,Bottineau,North Dakota,3,0,7,2,2,4,2,,,,100%,45.95,7,0,9,1,0,1,0
58318,3684,Bottineau,North Dakota,4,0,8,4,4,6,5,344,37.46,87.12,91%,45.95,5,0,7,3,2,3,2
58711,211,Bottineau,North Dakota,1,0,5,1,1,3,1,17,14.28,24.5,100%,45.95,2,0,4,2,1,2,1
58762,246,Bottineau,North Dakota,3,0,7,3,3,5,3,15,81.6,288.82,100%,45.95,2,0,4,2,1,2,1
58793,609,Bottineau,North Dakota,2,0,6,2,2,4,2,26,39.56,106.77,100%,45.95,2,0,4,2,1,2,1
80028,NULL,Boulder,Colorado,,,,,,,,,,,,,,,,,,,
80309,NULL,Boulder,Colorado,,,,,,,,,,,,,,,,,,,
80310,6578,Boulder,Colorado,3,2,11,2,1,4,2,,,,42%,79.99,9,1,11,4,2,4,2
80314,NULL,Boulder,Colorado,,,,,,,,,,,,,,,,,,,
80321,NULL,Boulder,Colorado,,,,,,,,,,,,,,,,,,,
80322,NULL,Boulder,Colorado,,,,,,,,,,,,,,,,,,,
80323,NULL,Boulder,Colorado,,,,,,,,,,,,,,,,,,,
80328,NULL,Boulder,Colorado,,,,,,,,,,,,,,,,,,,
80329,NULL,Boulder,Colorado,,,,,,,,,,,,,,,,,,,
80026,26378,Boulder,Colorado,4,2,12,4,4,6,5,31364,116.85,258.35,98%,64.95,3,1,5,3,3,3,3
80027,31034,Boulder,Colorado,3,3,12,3,3,5,4,80107,127.92,331.8,93%,65,3,2,6,3,3,3,3
80301,22555,Boulder,Colorado,4,3,13,4,4,6,5,40638,131.71,269.12,95%,64.95,3,1,5,3,3,3,3
80302,26941,Boulder,Colorado,7,4,17,5,5,7,6,52780,128.81,301.66,96%,64,5,1,7,4,4,4,4
80303,22361,Boulder,Colorado,3,3,12,3,3,5,4,15970,128.92,245.57,99%,65,2,1,4,2,2,2,2
80304,25623,Boulder,Colorado,6,2,14,4,4,6,5,91763,125.31,248.1,95%,64.95,4,1,6,3,3,3,3
80305,16874,Boulder,Colorado,4,2,12,4,4,6,5,45782,81.47,211.17,100%,64.95,3,1,5,3,3,3,3
80455,497,Boulder,Colorado,3,3,11,3,2,5,3,58,2.93,7.02,79%,65,1,1,3,1,1,1,1
80466,3338,Boulder,Colorado,2,4,11,2,2,4,3,3213,18.96,44.77,36%,79.99,1,2,4,1,1,1,1
80481,572,Boulder,Colorado,1,4,10,0,0,2,1,1939,4.39,9.02,0%,NULL,0,1,2,0,0,0,0
80501,39521,Boulder,Colorado,6,3,15,6,6,9,8,49478,181.7,463.73,98%,39.95,4,2,7,4,4,5,4
80503,31064,Boulder,Colorado,6,4,16,5,5,7,6,34637,81.87,273.9,96%,39.95,4,2,7,4,4,4,4
80504,46876,Boulder,Colorado,6,4,16,6,6,8,7,35168,120.38,289.26,97%,39.95,4,2,7,4,4,4,4
80510,420,Boulder,Colorado,2,3,10,1,1,3,2,355,9.25,23.97,29%,NULL,1,0,2,1,1,1,1
80540,4461,Boulder,Colorado,5,6,16,3,3,7,5,1403,12.35,26.88,62%,64.95,1,2,4,1,1,1,1
83845,1742,Boundary,Idaho,1,3,8,0,0,4,0,,,,99%,,8,4,14,0,0,1,0
83853,NULL,Boundary,Idaho,,,,,,,,,,,,,,,,,,,
83805,7437,Boundary,Idaho,4,4,12,3,2,8,2,7333,6.65,14.33,99%,NULL,2,3,7,0,0,2,0
