Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3
83646,47098,Ada,Idaho,4,5,15,4,4,7,4,47476,56.33,170.44,100%,55,8,1,11,5,4,5,4
83669,7365,Ada,Idaho,4,5,15,4,4,7,4,4520,48.52,140.5,100%,55,3,2,7,3,2,4,3
83702,22293,Ada,Idaho,7,5,18,5,4,8,4,67758,35.74,109.38,100%,55,8,4,14,4,3,4,3
83703,16565,Ada,Idaho,5,5,16,5,4,8,4,38432,52.67,136.9,100%,55,4,2,8,3,2,3,2
83704,39628,Ada,Idaho,4,4,14,4,4,7,4,60461,40.35,94.79,100%,55,6,2,10,4,4,4,4
83705,26631,Ada,Idaho,3,4,13,3,3,6,3,17211,49.4,112.92,100%,55,6,2,10,4,4,4,4
83706,29732,Ada,Idaho,4,4,14,4,4,7,4,16183,52.23,157.57,100%,55,2,2,6,2,2,2,2
83709,50034,Ada,Idaho,4,5,15,4,4,7,4,57959,66.1,179.18,100%,55,6,2,10,4,4,4,4
83712,8148,Ada,Idaho,3,3,12,3,3,6,3,4488,27.05,57.37,100%,55,2,2,6,2,2,2,2
83713,28103,Ada,Idaho,5,5,16,4,3,7,3,31043,66.26,169.71,100%,55,8,1,11,5,4,5,4
83714,20290,Ada,Idaho,5,5,16,5,4,9,4,1404,49.15,99.56,100%,55,4,2,8,4,2,4,2
83716,14523,Ada,Idaho,3,5,14,3,3,7,3,3051,78.79,218.93,93%,55,2,2,6,2,2,2,2
50002,1297,Adair,Iowa,11,3,20,8,7,11,7,31,8.08,21.47,75%,49.95,7,3,11,2,2,2,2
50070,1489,Adair,Iowa,5,3,14,4,4,6,5,144,10.3,41.94,72%,69.99,7,3,11,2,2,2,2
50837,376,Adair,Iowa,6,2,15,4,4,6,4,414,15.93,44.78,65%,124,4,2,7,0,0,0,0
50846,1123,Adair,Iowa,8,2,16,5,4,7,4,69,3.23,7.17,77%,64.95,4,2,7,0,0,0,0
50849,2740,Adair,Iowa,10,3,19,6,6,8,6,32,25.92,65.73,88%,69.95,7,4,12,3,3,3,3
50858,796,Adair,Iowa,6,3,15,4,3,6,3,105,4.23,8.33,74%,69.95,4,4,9,1,1,1,1
42715,347,Adair,Kentucky,1,1,6,0,0,2,0,,,,0%,,2,1,5,0,0,0,0
42742,NULL,Adair,Kentucky,,,,,,,,,,,,,,,,,,,
42753,743,Adair,Kentucky,1,1,7,1,1,3,1,,,,93%,,9,1,12,0,0,0,0
42528,1524,Adair,Kentucky,5,1,12,4,4,6,4,76,9.89,22.4,91%,69.99,4,1,7,2,1,2,1
42728,15925,Adair,Kentucky,8,1,15,6,6,8,6,4565,24.6,67.02,81%,70,6,1,9,2,1,2,1
42741,480,Adair,Kentucky,3,1,8,2,2,4,2,3,7.78,8.65,41%,NULL,2,1,5,0,0,0,0
63540,150,Adair,Missouri,2,1,9,0,0,3,0,,,,95%,79.95,2,1,4,0,0,0,0
63501,21532,Adair,Missouri,9,2,17,4,4,7,4,10235,86.16,225.91,89%,55,6,2,9,1,1,1,1
63533,805,Adair,Missouri,1,1,8,1,0,4,0,40,31.78,93.95,28%,44.95,1,1,3,0,0,0,0
63546,1715,Adair,Missouri,6,1,13,3,2,6,2,66,23.71,68.04,42%,44.95,4,1,6,1,1,1,1
63559,1420,Adair,Missouri,3,2,11,1,1,3,1,251,14.56,29.51,97%,70,2,2,5,1,1,1,1
74457,608,Adair,Oklahoma,3,0,10,1,1,3,2,,,,1%,49.95,2,0,3,0,0,0,0
74931,1411,Adair,Oklahoma,2,0,9,2,2,4,3,1,13.08,13.08,41%,49.95,1,0,2,0,0,0,0
74960,13643,Adair,Oklahoma,5,1,13,4,4,6,5,529,13.83,16.12,62%,25,2,0,3,1,1,1,1
74964,2834,Adair,Oklahoma,6,0,12,6,4,8,5,46,11.14,14.68,76%,49.95,4,0,5,2,1,2,1
74965,5170,Adair,Oklahoma,5,0,11,3,2,5,3,121,10.78,25.98,89%,49.95,4,0,5,0,0,0,0
80019,1690,Adams,Colorado,3,4,15,3,3,5,4,14,7.05,7.67,97%,65,2,2,5,2,2,2,2
80022,42699,Adams,Colorado,4,3,14,4,4,7,5,16255,102.44,260.06,98%,39.95,4,2,7,4,4,4,4
80030,15329,Adams,Colorado,4,2,12,4,3,6,4,2388,96.89,260.39,100%,65,3,1,5,2,2,2,2
80031,33932,Adams,Colorado,3,3,12,3,3,5,4,31442,114.95,291.5,100%,65,2,1,4,2,2,2,2
80045,277,Adams,Colorado,3,2,11,3,3,5,4,1519,69.02,122.38,100%,65,2,1,4,2,2,2,2
80102,5514,Adams,Colorado,6,7,21,5,3,8,4,1364,23.43,49.34,100%,79.99,5,4,10,2,2,2,2
80136,4834,Adams,Colorado,5,4,17,4,4,6,5,4433,12.81,26.69,69%,66.95,4,3,8,2,1,2,1
80221,37779,Adams,Colorado,4,4,14,4,4,7,5,43533,74.43,221.59,99%,39.95,4,3,8,3,3,4,3
80229,49598,Adams,Colorado,3,3,12,3,3,6,4,28532,93.22,255.27,98%,39.95,2,2,5,2,2,2,2
80233,45386,Adams,Colorado,4,2,12,4,4,6,5,33193,103.36,262.93,100%,64.95,3,1,5,3,3,3,3
80234,25937,Adams,Colorado,3,2,11,3,3,5,4,22628,102.6,250.77,95%,65,3,1,5,3,3,3,3
80241,31746,Adams,Colorado,3,1,10,3,3,5,4,22240,93.32,252.26,100%,65,3,1,5,3,3,3,3
80260,31412,Adams,Colorado,3,2,11,3,3,5,4,35680,90,267.5,82%,65,2,1,4,2,2,2,2
80601,33833,Adams,Colorado,5,2,13,5,5,7,6,8960,98.43,212.23,99%,64.95,4,2,7,4,4,4,4
80602,27665,Adams,Colorado,3,3,12,3,3,5,4,16024,134.04,321,97%,65,3,3,7,3,3,3,3
80640,11054,Adams,Colorado,4,3,13,3,3,5,4,1272,34.62,92.49,90%,65,4,2,7,2,2,2,2
83612,1925,Adams,Idaho,3,1,9,2,0,4,0,617,35.86,74.63,66%,59.95,3,0,5,1,1,1,1
83632,214,Adams,Idaho,2,1,7,2,0,4,0,93,35.59,83.94,71%,59.95,2,1,5,0,0,0,0
83643,129,Adams,Idaho,2,0,6,2,0,4,0,7,7.95,16.16,91%,59.95,1,0,3,0,0,0,0
83654,1672,Adams,Idaho,2,1,8,1,1,3,1,2730,92.25,113.21,29%,55,2,1,5,1,1,1,1
62301,33758,Adams,Illinois,7,2,15,4,4,6,4,13304,207.43,527.87,100%,48.79,4,1,7,2,2,2,2
62305,18052,Adams,Illinois,4,3,13,2,2,4,2,4159,66.14,198.79,90%,49.95,4,2,8,2,2,3,2
62320,2185,Adams,Illinois,4,3,13,2,2,4,2,928,71.04,198.82,67%,49.95,5,2,9,2,2,3,2
62324,1361,Adams,Illinois,6,3,15,2,2,4,2,395,119.4,241.59,59%,49.95,5,1,8,2,1,2,1
62325,403,Adams,Illinois,1,2,9,1,1,3,1,255,74.19,193.25,100%,49.95,2,1,5,1,1,1,1
62338,1473,Adams,Illinois,4,2,12,2,2,4,2,200,130.89,278.69,63%,49.95,4,1,7,2,2,2,2
62339,874,Adams,Illinois,3,1,10,2,2,4,2,642,79.61,217.49,90%,49.95,2,1,5,1,1,1,1
62346,178,Adams,Illinois,2,1,9,1,1,3,1,184,120.72,239.28,89%,49.95,1,1,4,0,0,0,0
62347,2282,Adams,Illinois,4,3,13,2,2,4,2,432,84.7,223.81,26%,35,2,1,5,0,0,0,0
62349,636,Adams,Illinois,2,1,9,1,1,3,1,303,87.45,220.88,97%,49.95,2,1,5,1,1,1,1
62351,1856,Adams,Illinois,2,2,10,1,1,3,1,514,66.84,181.99,98%,49.95,2,1,5,1,1,1,1
62359,166,Adams,Illinois,1,1,8,1,1,3,1,6,60.8,66.13,100%,49.95,2,1,5,1,1,1,1
62360,1656,Adams,Illinois,3,3,12,1,1,3,1,470,55.66,137.04,50%,49.95,1,2,5,0,0,1,0
62365,647,Adams,Illinois,3,3,12,1,1,3,1,398,96.45,241.19,34%,49.95,1,1,4,0,0,0,0
62376,1198,Adams,Illinois,1,1,8,1,1,3,1,423,83.59,192.99,99%,49.95,2,1,5,1,1,1,1
46711,7698,Adams,Indiana,6,4,15,4,1,10,1,348,18.88,33.74,100%,59.95,4,2,8,3,1,3,1
46733,18777,Adams,Indiana,9,6,20,7,5,14,5,4015,30.54,75.68,99%,59.95,5,3,10,3,1,3,1
46740,4060,Adams,Indiana,5,4,14,3,1,9,1,979,8.31,15,99%,79.99,3,2,7,2,1,2,1
46772,3411,Adams,Indiana,6,4,15,5,2,11,2,20,3.46,8.99,100%,59.95,5,2,9,3,2,3,2
50839,34,Adams,Iowa,1,0,6,0,0,2,0,,,,0%,,2,0,3,0,0,0,0
50841,2824,Adams,Iowa,9,2,17,6,6,8,6,113,11.13,14.58,66%,69.95,8,2,11,3,2,3,2
50857,272,Adams,Iowa,3,1,10,1,1,3,1,38,9.04,14.96,85%,69.95,4,1,6,1,1,1,1
50859,584,Adams,Iowa,7,3,16,4,4,7,4,81,8.42,26.57,64%,69.95,5,3,9,0,0,0,0
39120,32334,Adams,Mississippi,8,1,15,7,7,9,8,5532,46.67,91.99,97%,35,5,0,7,3,1,3,1
68925,474,Adams,Nebraska,2,3,11,1,1,3,1,,,,50%,,6,2,9,1,0,1,0
68950,331,Adams,Nebraska,1,3,9,1,1,3,1,,,,100%,,3,2,6,2,1,2,1
68901,26354,Adams,Nebraska,7,5,19,6,6,9,7,5674,39.07,101.68,96%,45,6,3,10,2,2,2,2
68955,2025,Adams,Nebraska,5,4,16,5,5,7,5,14,47.62,87.98,86%,69.99,4,3,8,2,2,2,2
68956,1215,Adams,Nebraska,7,6,20,6,5,11,6,10,3.08,4.25,83%,45,4,3,8,1,1,1,1
68973,463,Adams,Nebraska,2,4,12,1,1,3,1,146,24.49,73.25,100%,NULL,2,1,4,1,1,1,1
58639,1816,Adams,North Dakota,3,1,8,3,2,5,2,449,38.43,86.19,100%,34.83,2,1,5,2,2,2,2
58649,321,Adams,North Dakota,2,1,7,2,2,4,2,4,17.29,21.88,100%,34.83,3,1,6,2,2,2,2
45144,4272,Adams,Ohio,3,2,9,1,1,5,1,28,7.08,25.05,71%,69.99,2,1,4,1,0,1,0
45616,1559,Adams,Ohio,1,0,5,0,0,2,0,45,19.89,56.38,0%,NULL,1,0,2,0,0,0,0
45650,435,Adams,Ohio,1,0,5,0,0,2,0,151,15.73,39.47,0%,NULL,1,0,2,0,0,0,0
45660,8297,Adams,Ohio,5,2,12,1,1,4,2,2232,115.4,222.19,43%,69.99,4,1,6,2,0,2,0
45679,2812,Adams,Ohio,4,2,10,1,1,4,2,266,28.22,83.56,50%,69.99,3,1,5,1,0,1,0
45693,8981,Adams,Ohio,2,1,7,1,1,3,1,2881,72.22,158.25,71%,69.99,2,1,4,1,0,1,0
17326,NULL,Adams,Pennsylvania,,,,,,,,,,,,,,,,,,,
17375,NULL,Adams,Pennsylvania,,,,,,,,,,,,,,,,,,,
17301,4053,Adams,Pennsylvania,4,0,9,1,1,3,2,20,33.63,89.84,99%,79.99,3,0,4,1,1,1,1
17304,3059,Adams,Pennsylvania,2,0,7,2,1,4,1,1240,45.52,95.73,82%,79.99,2,0,3,1,1,1,1
17307,5899,Adams,Pennsylvania,2,0,7,2,1,4,1,1278,35.05,61.66,70%,79.99,2,1,4,1,1,1,1
17316,8266,Adams,Pennsylvania,4,1,10,1,1,3,2,13132,91.33,194.22,96%,79.99,4,1,6,2,1,2,1
17320,7823,Adams,Pennsylvania,3,1,9,2,1,5,1,714,57.33,140.06,99%,79.99,2,1,4,1,1,2,1
17325,27619,Adams,Pennsylvania,4,1,10,4,3,7,4,32388,111.05,325.34,93%,65,4,1,6,3,1,4,1
17340,10896,Adams,Pennsylvania,3,0,8,3,2,5,3,2276,67.82,122.23,98%,65,3,0,4,3,1,3,1
17344,3656,Adams,Pennsylvania,4,0,9,4,2,6,3,4,6.96,6.96,100%,65,3,0,4,1,1,1,1
17350,12886,Adams,Pennsylvania,4,0,9,3,2,5,3,1990,46.5,101.83,97%,65,2,0,3,1,1,1,1
17353,3228,Adams,Pennsylvania,3,0,8,3,2,5,2,1302,53.85,155.21,92%,79.99,2,1,4,2,1,2,1
17372,4101,Adams,Pennsylvania,4,1,10,2,1,4,1,1904,80.94,263.25,91%,79.99,4,1,6,3,1,3,1
99371,311,Adams,Washington,4,2,13,2,1,5,3,,,,9%,85,4,1,6,0,0,1,1
99105,61,Adams,Washington,2,1,9,1,0,4,2,44,8.31,18.62,49%,85,2,1,4,0,0,1,1
99169,2459,Adams,Washington,2,3,11,1,0,6,2,379,40.15,93.13,100%,43.95,2,4,7,1,0,3,1
99341,884,Adams,Washington,3,1,11,2,1,5,3,25,68.73,92.29,30%,46.95,2,3,6,1,0,3,1
99344,16817,Adams,Washington,4,2,13,4,3,7,5,6237,14.2,39.43,96%,46.95,4,3,8,2,2,4,3
53910,3508,Adams,Wisconsin,3,1,10,2,2,4,2,476,50.65,153.89,91%,59.95,3,0,5,1,1,1,1
53934,4396,Adams,Wisconsin,5,2,14,3,3,5,4,683,17.43,37.18,37%,49.99,4,1,7,1,1,1,1
53936,1610,Adams,Wisconsin,3,1,9,2,1,4,1,612,63.29,176.35,95%,59.95,3,0,5,0,0,0,0
53952,4377,Adams,Wisconsin,3,1,10,2,1,4,1,3478,60.83,177.81,100%,59.95,3,0,5,0,0,0,0
54613,1826,Adams,Wisconsin,5,3,14,3,3,5,4,1486,23.05,68.64,14%,49.99,2,1,5,0,0,0,0
5456,1277,Addison,Vermont,4,2,12,4,2,6,3,,,,97%,53.95,10,1,13,3,2,3,2
5747,280,Addison,Vermont,2,3,9,2,1,4,2,,,,95%,72,3,1,6,0,0,0,0
5748,323,Addison,Vermont,2,2,9,1,1,3,2,,,,96%,72,5,2,9,0,0,0,0
5760,1123,Addison,Vermont,1,3,8,0,0,3,1,,,,39%,54.9,2,2,6,1,1,1,1
5443,6656,Addison,Vermont,5,3,13,4,3,6,4,7930,16.24,28.26,97%,53.95,4,2,8,3,2,3,2
5472,1643,Addison,Vermont,4,2,11,4,3,6,4,952,19.86,38.65,92%,53.95,4,1,7,3,2,3,2
5473,1413,Addison,Vermont,4,2,12,4,2,6,3,160,43.87,92.93,96%,53.95,4,1,7,3,2,3,2
5487,1498,Addison,Vermont,3,2,10,3,2,5,3,494,46.66,86.55,97%,53.95,3,1,6,3,2,3,2
5491,5909,Addison,Vermont,5,3,13,5,4,8,5,2364,26.64,45.85,88%,53.95,4,1,7,3,2,3,2
5734,1306,Addison,Vermont,4,3,12,2,1,5,2,6,10.8,12.61,96%,53.95,4,1,7,2,1,2,1
5753,10491,Addison,Vermont,7,4,16,6,4,9,5,4854,26.65,74.45,98%,48.79,6,2,10,4,2,4,2
5766,572,Addison,Vermont,1,3,8,1,0,3,1,1026,10.99,19.03,55%,NULL,1,2,5,0,0,0,0
5769,1216,Addison,Vermont,2,3,10,2,1,5,2,900,33.64,56.87,63%,54.9,2,2,6,1,1,1,1
5770,1136,Addison,Vermont,3,3,10,1,1,4,2,4556,9.52,18.47,97%,54.9,2,2,6,1,0,1,0
5778,733,Addison,Vermont,3,3,11,1,1,4,2,1080,10.82,18.87,85%,54.9,3,2,7,1,1,1,1
601,18570,Adjuntas,Puerto Rico,2,5,12,2,1,7,3,62,10.93,39.45,0%,56.99,2,0,2,1,0,1,0
602,41520,Aguada,Puerto Rico,2,3,10,1,1,5,3,17588,83.5,232.48,0%,56.99,2,0,2,0,0,0,0
603,54689,Aguadilla,Puerto Rico,2,3,10,2,1,6,2,8144,36.87,161.04,0%,56.99,2,0,2,1,0,1,0
690,6255,Aguadilla,Puerto Rico,2,3,10,1,1,5,2,928,112.51,237.55,0%,56.99,2,0,2,0,0,0,0
703,28605,Aguas Buenas,Puerto Rico,3,4,12,3,2,7,4,136,6.21,16.76,0%,56.99,2,0,2,1,1,1,1
705,25598,Aibonito,Puerto Rico,2,4,11,2,1,7,4,330,9.11,24.7,0%,56.99,2,0,2,1,1,1,1
29808,NULL,Aiken,South Carolina,,,,,,,,,,,,,,,,,,,
