Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3.1
95257,413.0,Calaveras,California,2.0,0.0,5.0,2.0,0.0,4.0,1.0,,,,74%,67.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
95222,5292.0,Calaveras,California,5.0,6.0,15.0,3.0,3.0,7.0,4.0,6312.0,47.04,175.4,100%,77.95,4.0,2.0,7.0,3.0,1.0,3.0,1.0
95223,4612.0,Calaveras,California,3.0,2.0,9.0,2.0,1.0,6.0,3.0,1006.0,58.34,97.29,99%,79.99,2.0,0.0,3.0,1.0,1.0,1.0,1.0
95228,3976.0,Calaveras,California,3.0,5.0,14.0,3.0,3.0,8.0,4.0,13968.0,232.81,750.25,100%,77.95,2.0,2.0,5.0,2.0,0.0,2.0,0.0
95232,304.0,Calaveras,California,1.0,2.0,6.0,1.0,0.0,4.0,1.0,61.0,25.69,49.76,100%,67.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
95245,2277.0,Calaveras,California,3.0,5.0,12.0,3.0,1.0,7.0,2.0,43.0,14.13,46.29,87%,67.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0
95246,1615.0,Calaveras,California,2.0,3.0,9.0,1.0,0.0,4.0,1.0,218.0,11.65,18.97,84%,55.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
95247,4368.0,Calaveras,California,3.0,4.0,11.0,1.0,1.0,5.0,1.0,2279.0,42.57,118.78,100%,79.99,2.0,0.0,3.0,1.0,1.0,1.0,1.0
95249,4042.0,Calaveras,California,3.0,5.0,12.0,1.0,1.0,5.0,1.0,760.0,40.46,120.45,95%,79.99,2.0,0.0,3.0,1.0,1.0,1.0,1.0
95252,13460.0,Calaveras,California,6.0,11.0,23.0,4.0,3.0,10.0,4.0,8088.0,75.9,173.18,99%,77.95,4.0,2.0,7.0,2.0,1.0,2.0,1.0
95255,2042.0,Calaveras,California,2.0,1.0,6.0,2.0,1.0,4.0,2.0,161.0,19.39,49.73,81%,67.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
70609,,Calcasieu,Louisiana,,,,,,,,,,,,,,,,,,,
70629,,Calcasieu,Louisiana,,,,,,,,,,,,,,,,,,,
70601,32384.0,Calcasieu,Louisiana,8.0,2.0,16.0,6.0,4.0,9.0,5.0,15342.0,60.58,165.48,100%,25.0,6.0,2.0,10.0,3.0,2.0,3.0,2.0
70605,32741.0,Calcasieu,Louisiana,8.0,3.0,17.0,6.0,4.0,9.0,5.0,31040.0,82.21,265.84,100%,25.0,5.0,1.0,8.0,2.0,2.0,2.0,2.0
70607,25560.0,Calcasieu,Louisiana,7.0,2.0,15.0,4.0,4.0,6.0,4.0,3761.0,71.89,228.81,85%,25.0,5.0,2.0,9.0,2.0,2.0,2.0,2.0
70611,19256.0,Calcasieu,Louisiana,7.0,2.0,15.0,5.0,4.0,7.0,5.0,5856.0,46.09,97.69,96%,25.0,5.0,1.0,8.0,2.0,2.0,2.0,2.0
70615,14335.0,Calcasieu,Louisiana,5.0,1.0,12.0,3.0,2.0,5.0,2.0,426.0,41.45,127.12,97%,25.0,4.0,1.0,7.0,2.0,2.0,2.0,2.0
70630,1440.0,Calcasieu,Louisiana,3.0,3.0,12.0,2.0,2.0,4.0,2.0,12.0,8.88,12.99,39%,40.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0
70633,7604.0,Calcasieu,Louisiana,5.0,1.0,12.0,4.0,3.0,6.0,4.0,258.0,35.31,118.43,84%,25.0,4.0,0.0,6.0,2.0,2.0,2.0,2.0
70647,8703.0,Calcasieu,Louisiana,9.0,6.0,21.0,5.0,5.0,8.0,6.0,332.0,81.73,298.59,66%,35.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0
